ID,name,email,phone,city,country_code,creditLimit,createdAt,createdBy,modifiedAt,modifiedBy
17690147-b17f-4232-ad33-f8ccf52d6588,name-17690147,email-17690147,phone-17690147,city-17690147,492,4736069267297.45,2006-05-13T00:00:00.000Z,createdBy.aj5sz@example.org,2023-07-29T00:00:00.000Z,modifiedBy.aj5sz@example.org
75291710-a46e-49e3-9e5c-9e1d3986b9ca,name-7529171,email-7529171,phone-7529171,city-7529171,492,9787861253921.95,2017-12-07T00:00:00.000Z,createdBy.4hdjn@example.org,2020-07-20T00:00:00.000Z,modifiedBy.4hdjn@example.org
75291726-5d44-44e8-bf5c-f619e8e249b1,name-7529172,email-7529172,phone-7529172,city-7529172,492,1202936645798.48,2000-09-01T00:00:00.000Z,createdBy.4hdjo@example.org,2001-06-03T00:00:00.000Z,modifiedBy.4hdjo@example.net
75291735-f300-4b13-9a13-621b5e818bfe,name-7529173,email-7529173,phone-7529173,city-7529173,492,9065962054121.81,2007-05-19T00:00:00.000Z,createdBy.4hdjp@example.com,2009-09-15T00:00:00.000Z,modifiedBy.4hdjp@example.net
7529174a-6eed-40e1-b1df-671c205ffee0,name-7529174,email-7529174,phone-7529174,city-7529174,492,6297291516892.44,2023-01-15T00:00:00.000Z,createdBy.4hdjq@example.net,2018-03-29T00:00:00.000Z,modifiedBy.4hdjq@example.com
7529175a-b610-4d17-846c-8ce2d35ecaae,name-7529175,email-7529175,phone-7529175,city-7529175,492,2117464636041.44,2010-01-23T00:00:00.000Z,createdBy.4hdjr@example.org,2002-12-01T00:00:00.000Z,modifiedBy.4hdjr@example.org
75291765-aca7-4b96-b76d-f8a5cc8751e6,name-7529176,email-7529176,phone-7529176,city-7529176,492,7431938282653.66,2021-10-28T00:00:00.000Z,createdBy.4hdjs@example.org,2006-10-08T00:00:00.000Z,modifiedBy.4hdjs@example.org
7529177f-048a-4725-a2ac-89d00e282c0b,name-7529177,email-7529177,phone-7529177,city-7529177,492,6837991146154.54,2020-03-04T00:00:00.000Z,createdBy.4hdjt@example.org,2014-03-31T00:00:00.000Z,modifiedBy.4hdjt@example.com
7529178f-b7d5-4790-a295-cf701998ec9d,name-7529178,email-7529178,phone-7529178,city-7529178,492,1902305330648.42,2000-03-07T00:00:00.000Z,createdBy.4hdju@example.net,2004-08-04T00:00:00.000Z,modifiedBy.4hdju@example.org
75291791-0020-497f-aa8f-5321a3f39b0c,name-7529179,email-7529179,phone-7529179,city-7529179,492,266688826246.71,2016-07-17T00:00:00.000Z,createdBy.4hdjv@example.org,2007-08-22T00:00:00.000Z,modifiedBy.4hdjv@example.net
